risk_decile,accounts,good_accounts,bad_accounts,observed_pd,avg_good_woe_score,avg_risk_score_raw
1,124390,113788,10602,0.08523193182731731,0.37898469117135264,-0.37898469117135264
2,127169,110488,16681,0.13117190510265866,0.20228113395137795,-0.20228113395137795
3,128618,109802,18816,0.14629367584630457,0.09724918600462183,-0.09724918600462183
4,129360,106667,22693,0.17542517006802721,0.05519819197016585,-0.05519819197016585
5,129399,104635,24764,0.19137705855532114,0.016584957318884958,-0.016584957318884958
6,129923,103207,26716,0.20562948823533939,-0.01828658896894662,0.01828658896894662
7,130340,101621,28719,0.22033911308884457,-0.049248409777963874,0.049248409777963874
8,131307,98525,32782,0.24965919562551883,-0.08122896588530493,0.08122896588530493
9,130421,95110,35311,0.2707462755231136,-0.1369286904744496,0.1369286904744496
10,130594,87275,43319,0.3317074291315068,-0.22238996554485294,0.22238996554485294
