risk_decile,accounts,observed_default_rate,avg_pd,avg_score,ead_proxy,expected_loss
1,10057,0.0792482847767724,0.0852319318273173,555.1005987184961,161042650,4116707.335943404
2,10020,0.12335329341317365,0.1311719051026586,520.2841954822964,157573850,6776314.252050421
3,10035,0.13452914798206278,0.1462936758463045,511.1472183707532,162420525,8959957.184717536
4,9972,0.16807059767348576,0.1754251700680272,495.54332839160537,148113925,9813243.578103742
5,10035,0.19103139013452916,0.1913770585553211,487.85605718958175,137908700,10261877.005370986
6,10133,0.19885522550083884,0.2056294882353393,481.39184026655164,154443250,12753753.327786457
7,9880,0.20860323886639676,0.22033911308884452,475.0596525482948,137170000,13053773.500583092
8,9967,0.24169760208688673,0.24965919562551883,463.2828937420615,120676400,13320793.073149186
9,10007,0.25552113520535624,0.2707462755231136,455.3775631339634,140060425,16665793.893855283
10,9894,0.3136244188397008,0.3317074291315068,434.432020876922,122257225,17791594.83967487
