feature,business_meaning,bin,accounts,good_accounts,bad_accounts,bad_rate,woe,iv_bin,iv_variable
fico_band_exp,External creditworthiness band.,640-679,67564,53242,14322,0.21197679237463737,-0.3331616921074091,0.04571033023736028,0.14826851472428276
fico_band_exp,External creditworthiness band.,680-719,82227,69533,12694,0.15437751590110305,0.054452907625156595,0.0013078548773953452,0.14826851472428276
fico_band_exp,External creditworthiness band.,720-759,24573,22479,2094,0.08521548040532291,0.7271020069739715,0.05504375308238057,0.14826851472428276
fico_band_exp,External creditworthiness band.,760-799,6941,6544,397,0.05719636939922201,1.1549984327310607,0.03374470267301127,0.14826851472428276
fico_band_exp,External creditworthiness band.,800+,1697,1628,69,0.04065998821449617,1.5079009577392148,0.012461873854135315,0.14826851472428276
dti_band_exp,Debt burden relative to income.,10-20,76785,66427,10358,0.13489613856873087,0.21213041944531755,0.017554837121255832,0.12524362768996494
dti_band_exp,Debt burden relative to income.,20-30,55950,45228,10722,0.19163538873994637,-0.2067901875189821,0.014003675381314116,0.12524362768996494
dti_band_exp,Debt burden relative to income.,30-40,18363,13262,5101,0.27778685399989106,-0.690767379413708,0.05942651035456499,0.12524362768996494
dti_band_exp,Debt burden relative to income.,40-60,14,11,3,0.21428571428571427,-0.45658920234675027,1.980407992245207e-05,0.12524362768996494
dti_band_exp,Debt burden relative to income.,60+,4,4,0,0.0,0.5510513081156327,6.847166553710379e-06,0.12524362768996494
dti_band_exp,Debt burden relative to income.,<=10,31886,28494,3392,0.10637897509878944,0.48197070424748045,0.03423195358635385,0.12524362768996494
income_band_exp,Repayment capacity proxy.,100-150k,24420,21547,2873,0.11764946764946765,0.36855573235317146,0.01595585661911107,0.0442645421633788
income_band_exp,Repayment capacity proxy.,150k+,9903,8825,1078,0.10885590225184287,0.45590080237053593,0.00960128970399622,0.0442645421633788
income_band_exp,Repayment capacity proxy.,30-50k,45748,37091,8657,0.18923231616682695,-0.1912114336635894,0.009740406900447307,0.0442645421633788
income_band_exp,Repayment capacity proxy.,50-75k,55369,46124,9245,0.16697068756885622,-0.03896595369195478,0.00046546138922188196,0.0442645421633788
income_band_exp,Repayment capacity proxy.,75-100k,33848,28894,4954,0.1463601985346254,0.11718174185078184,0.00244022790047996,0.0442645421633788
income_band_exp,Repayment capacity proxy.,<30k,13714,10945,2769,0.20191045646784309,-0.2719116548199607,0.006061299650122363,0.0442645421633788
loan_amount_band_exp,Exposure size and affordability proxy.,10-15k,40669,33235,7434,0.18279279057758982,-0.14869966080016442,0.005164233887826922,0.09529350889845824
loan_amount_band_exp,Exposure size and affordability proxy.,15-25k,48115,38477,9638,0.2003117530915515,-0.26187875438986374,0.0196611033691944,0.09529350889845824
loan_amount_band_exp,Exposure size and affordability proxy.,25-35k,21620,17265,4355,0.20143385753931545,-0.2689160379361673,0.009337029162583945,0.09529350889845824
loan_amount_band_exp,Exposure size and affordability proxy.,5-10k,50209,44496,5713,0.11378438128622359,0.40639182438263716,0.03935929751225248,0.09529350889845824
loan_amount_band_exp,Exposure size and affordability proxy.,<=5k,22389,19953,2436,0.10880343025592926,0.4566550688370621,0.021771844966600496,0.09529350889845824
revol_util_band_exp,Revolving credit utilization.,100+,894,679,215,0.24049217002237136,-0.4977769451731908,0.0014220569652238218,0.02074534561419828
revol_util_band_exp,Revolving credit utilization.,20-40,38910,33494,5416,0.1391930095091236,0.175758126623607,0.006184296854082315,0.02074534561419828
revol_util_band_exp,Revolving credit utilization.,40-60,52222,43749,8473,0.16224962659415573,-0.0046367315049879315,6.144644739440552e-06,0.02074534561419828
revol_util_band_exp,Revolving credit utilization.,60-80,46874,38658,8216,0.1752784059393267,-0.09755092362540867,0.002518578067731474,0.02074534561419828
revol_util_band_exp,Revolving credit utilization.,80-100,27526,22400,5126,0.18622393373537746,-0.17151315430814942,0.004685122147271278,0.02074534561419828
revol_util_band_exp,Revolving credit utilization.,<=20,16576,14446,2130,0.12849903474903476,0.26792220750847523,0.005929146935149952,0.02074534561419828
revol_bal_band_exp,Revolving balance burden.,15-30k,45585,38137,7448,0.1633870790830317,-0.012987889015309348,4.220318625446867e-05,0.006796846357673074
revol_bal_band_exp,Revolving balance burden.,2.5-7.5k,46173,38724,7449,0.1613280488597232,0.0021522893978916644,1.1679181762110263e-06,0.006796846357673074
revol_bal_band_exp,Revolving balance burden.,30-60k,18993,16262,2731,0.14378981730111093,0.13783766576440182,0.001881171341863211,0.006796846357673074
revol_bal_band_exp,Revolving balance burden.,60k+,4514,4002,512,0.11342490031014621,0.40920046463771986,0.0035848019938003028,0.006796846357673074
revol_bal_band_exp,Revolving balance burden.,7.5-15k,55558,46274,9284,0.1671046473955146,-0.03992855884819922,0.0004905697635466392,0.006796846357673074
revol_bal_band_exp,Revolving balance burden.,<=2.5k,12179,10027,2152,0.17669759421955825,-0.10747190787826459,0.000796932154032242,0.006796846357673074
open_acc_band_exp,Number of open credit accounts.,11-15,57466,47716,9750,0.1696655413635889,-0.05821458493650929,0.0010852435080793248,0.016276331101996108
open_acc_band_exp,Number of open credit accounts.,16-25,33359,27340,6019,0.18043106807758028,-0.13280834926256982,0.003361304419779986,0.016276331101996108
open_acc_band_exp,Number of open credit accounts.,25+,4349,3385,964,0.22166015175902506,-0.3905262166406702,0.004116932219336387,0.016276331101996108
open_acc_band_exp,Number of open credit accounts.,4-6,24310,20962,3348,0.1377211024269848,0.18804937356077278,0.004404379363214154,0.016276331101996108
open_acc_band_exp,Number of open credit accounts.,7-10,61188,51988,9200,0.150356279008956,0.08559144065227688,0.0023790694413089366,0.016276331101996108
open_acc_band_exp,Number of open credit accounts.,<=3,2330,2035,295,0.12660944206008584,0.28365466187629396,0.0009294021502773184,0.016276331101996108
total_acc_band_exp,Depth of credit-file history.,11-20,55356,46450,8906,0.16088590216056073,0.005432612993572035,8.910895115667935e-06,0.0017382845948784114
total_acc_band_exp,Depth of credit-file history.,21-30,58738,49361,9377,0.1596411181858422,0.014684295919835022,6.886560979680917e-05,0.0017382845948784114
total_acc_band_exp,Depth of credit-file history.,31-50,48098,40341,7757,0.16127489708511789,0.0025473292103149847,1.7039690853053724e-06,0.0017382845948784114
total_acc_band_exp,Depth of credit-file history.,51-75,6554,5361,1193,0.18202624351541044,-0.14381964933927108,0.000777355317285801,0.0017382845948784114
total_acc_band_exp,Depth of credit-file history.,75+,332,244,88,0.26506024096385544,-0.6299605123195436,0.0008809472321416539,0.0017382845948784114
total_acc_band_exp,Depth of credit-file history.,<=10,13924,11669,2255,0.1619505889112324,-0.002566346607761305,5.015714531740522e-07,0.0017382845948784114
mort_acc_band_exp,Mortgage account experience.,0,72635,58597,14038,0.1932677084050389,-0.2172984361327387,0.020143091208544562,0.04837821001770662
mort_acc_band_exp,Mortgage account experience.,1,30372,25280,5092,0.16765441854339524,-0.04392243596107304,0.00032495633024344646,0.04837821001770662
mort_acc_band_exp,Mortgage account experience.,2-3,46110,39718,6392,0.13862502710908697,0.18050473152389604,0.0077171564739379,0.04837821001770662
mort_acc_band_exp,Mortgage account experience.,4-6,28385,24949,3436,0.12104985027303153,0.3362133559307126,0.015610669209976277,0.04837821001770662
mort_acc_band_exp,Mortgage account experience.,6+,5500,4882,618,0.11236363636363636,0.41992855651196453,0.004582336795004427,0.04837821001770662
