sample,expanded_formula_decile,actual_share,train_share,share_gap
train_pre_2016,1,0.1000043715369231,0.1000043715369231,0.0
train_pre_2016,2,0.09999890711576923,0.09999890711576923,0.0
train_pre_2016,3,0.09999890711576923,0.09999890711576923,0.0
train_pre_2016,4,0.09999890711576923,0.09999890711576923,0.0
train_pre_2016,5,0.09999890711576923,0.09999890711576923,0.0
train_pre_2016,6,0.09999890711576923,0.09999890711576923,0.0
train_pre_2016,7,0.09999890711576923,0.09999890711576923,0.0
train_pre_2016,8,0.09999890711576923,0.09999890711576923,0.0
train_pre_2016,9,0.09999890711576923,0.09999890711576923,0.0
train_pre_2016,10,0.1000043715369231,0.1000043715369231,0.0
validation_2016,1,0.1263251816805006,0.1000043715369231,0.02632081014357751
validation_2016,2,0.0968806133111051,0.09999890711576923,-0.003118293804664121
validation_2016,3,0.09501391220634678,0.09999890711576923,-0.004984994909422447
validation_2016,4,0.10523967737769585,0.09999890711576923,0.005240770261926625
validation_2016,5,0.09844206769433063,0.09999890711576923,-0.0015568394214385967
validation_2016,6,0.10972445613252403,0.09999890711576923,0.009725549016754806
validation_2016,7,0.10833910562710591,0.09999890711576923,0.008340198511336688
validation_2016,8,0.1134578583420407,0.09999890711576923,0.01345895122627147
validation_2016,9,0.0765230050365709,0.09999890711576923,-0.02347590207919832
validation_2016,10,0.07005412259177947,0.1000043715369231,-0.02995024894514363
test_2017,1,0.1750091656063318,0.1000043715369231,0.07500479406940871
test_2017,2,0.11289870387543402,0.09999890711576923,0.012899796759664794
test_2017,3,0.09646531087580064,0.09999890711576923,-0.0035335962399685866
test_2017,4,0.09379111044016476,0.09999890711576923,-0.006207796675604463
test_2017,5,0.08579007526580258,0.09999890711576923,-0.014208831849966644
test_2017,6,0.08900342901507473,0.09999890711576923,-0.010995478100694497
test_2017,7,0.08184347300998512,0.09999890711576923,-0.018155434105784102
test_2017,8,0.10949125493325282,0.09999890711576923,0.009492347817483593
test_2017,9,0.08874463542452932,0.09999890711576923,-0.011254271691239909
test_2017,10,0.06696284155362418,0.1000043715369231,-0.033041529983298915
