decile,accounts,formula_pd,formula_observed_default,formula_gap,logistic_pd,logistic_observed_default,logistic_gap
1,8115,0.03278509371072619,0.027972889710412816,-0.004812204000313371,0.020988830729192467,0.021195824106295474,0.0002069933771030076
2,5235,0.05382513661202186,0.05711556829035339,0.003290431678331533,0.040242562217332904,0.039611502570938865,-0.0006310596463940388
3,4473,0.07546448087431694,0.07489380728817349,-0.000570673586143447,0.05669290945453322,0.059707473452213985,0.0030145639976807623
4,4349,0.08256830601092896,0.08300758795125317,0.0004392819403242071,0.07455003525889371,0.0781546239730356,0.0036045887141418903
5,3978,0.1051912568306011,0.11940673705379588,0.014215480223194785,0.09502272628649668,0.10336590662323561,0.008343180336738934
6,4127,0.11666666666666667,0.14635328325660285,0.029686616589936182,0.12105420603560403,0.1316909294512878,0.010636723415683766
7,3795,0.15131147540983605,0.2134387351778656,0.06212725976802955,0.15751749428878173,0.1832984414980228,0.025780947209241067
8,5077,0.193224043715847,0.22473901910577113,0.03151497538992412,0.2147509709893032,0.23528015194681862,0.02052918095751541
9,4115,0.296120218579235,0.3037667071688943,0.007646488589659328,0.3149214652294778,0.34189571024916515,0.02697424501968737
10,3105,0.5089885798590241,0.5735909822866344,0.06460240242761028,0.5161680561925377,0.5853794642857143,0.06921140809317661
