feature_pair,correlation,relationship,risk,decision
pub_rec_band_exp vs bankruptcy_band_exp,0.7880933006500658,WOE-transformed Pearson correlation on train window,Potential redundancy or shared policy/product signal,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
mort_acc_band_exp vs home_ownership_exp,0.5798138865915944,WOE-transformed Pearson correlation on train window,Potential redundancy or shared policy/product signal,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
term_band_exp vs loan_amount_band_exp,0.4109787685571713,WOE-transformed Pearson correlation on train window,Potential redundancy or shared policy/product signal,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
fico_band_exp vs revol_util_band_exp,0.39666306664273426,WOE-transformed Pearson correlation on train window,Potential redundancy or shared policy/product signal,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
loan_amount_band_exp vs income_band_exp,-0.3843477152487841,WOE-transformed Pearson correlation on train window,Potential redundancy or shared policy/product signal,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
mort_acc_band_exp vs income_band_exp,0.3566605864499299,WOE-transformed Pearson correlation on train window,Potential redundancy or shared policy/product signal,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
income_band_exp vs revol_bal_band_exp,0.3321828110477824,WOE-transformed Pearson correlation on train window,Potential redundancy or shared policy/product signal,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
dti_band_exp vs open_acc_band_exp,0.25719870601804246,WOE-transformed Pearson correlation on train window,Potential redundancy or shared policy/product signal,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
revol_util_band_exp vs revol_bal_band_exp,-0.21193583030298818,WOE-transformed Pearson correlation on train window,Business-related pair to monitor,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
fico_band_exp vs verification_status_exp,0.10672437307068161,WOE-transformed Pearson correlation on train window,Business-related pair to monitor,"Monitor; final production scorecard would choose based on stability, explainability and incremental value."
