feature,business_meaning,iv_variable,bins,min_bin_accounts,selected_for_formula,coefficient,actual_sign,status,max_validation_abs_diff,max_test_abs_diff,max_abs_woe_diff,woe_stability_threshold_rule,woe_stability_bucket,selected_for_final_clean_scorecard,clean_exclusion_reason,candidate_decision,governance_note
term_band_exp,Loan term/product tenor.,0.5803512547079516,2,44299,True,-1.0387981017777643,Negative,Pass,0.17235346001873997,0.11780044889424668,0.17235346001873997,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Monitor,True,,Monitor - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
fico_band_exp,External creditworthiness band.,0.14826851472428276,5,1697,True,-1.0030337019814415,Negative,Pass,0.07998585684499826,0.22902030605592882,0.22902030605592882,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Monitor,True,,Monitor - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
dti_band_exp,Debt burden relative to income.,0.12517540843302197,4,18381,True,-0.680452235999581,Negative,Pass,0.05643041007902483,0.11222724838434331,0.11222724838434331,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Monitor,True,,Monitor - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
verification_status_exp,Income/identity verification status.,0.11091190540874338,3,52475,True,-0.5659470904342269,Negative,Pass,0.12383454632190675,0.20662692279393075,0.20662692279393075,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Monitor,True,,Monitor - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
loan_amount_band_exp,Exposure size and affordability proxy.,0.09529350889845824,5,21620,True,-0.3494658407372251,Negative,Pass,0.06931252302112756,0.34962801828171597,0.34962801828171597,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Conditional Review,True,,Conditional Review - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
mort_acc_band_exp,Mortgage account experience.,0.04837821001770662,5,5500,True,-0.7874080929734781,Negative,Pass,0.17152494985072658,0.6477885480738801,0.6477885480738801,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Do not use without remediation,False,Dropped from final clean scorecard because post-coarse WOE stability movement exceeded 0.50 in the test window.,Drop from final clean scorecard - governance exclusion,Do not treat as final production variable without remediation or documented override.
home_ownership_exp,Housing stability proxy.,0.04603530338571557,3,19340,True,-0.7787310338330933,Negative,Pass,0.07300467457150878,0.13366704662290235,0.13366704662290235,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Monitor,True,,Monitor - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
income_band_exp,Repayment capacity proxy.,0.0442645421633788,6,9903,True,-0.9088147352461542,Negative,Pass,0.09449027212652966,0.16100442921799263,0.16100442921799263,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Monitor,True,,Monitor - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
purpose_exp,Loan purpose risk profile.,0.03195748639878692,10,1058,True,-0.7697315362528044,Negative,Pass,0.19627158764546793,0.2743048449950181,0.2743048449950181,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Conditional Review,True,,Conditional Review - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
revol_util_band_exp,Revolving credit utilization.,0.020149577323001377,5,16576,True,0.18378683248404146,Positive,Review,0.07016510835753348,0.33785389274335464,0.33785389274335464,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Conditional Review,False,Dropped from final clean scorecard because benchmark WOE-logistic coefficient showed sign reversal under WOE = ln(%Good / %Bad).,Drop from final clean scorecard - governance exclusion,Do not treat as final production variable without remediation or documented override.
open_acc_band_exp,Number of open credit accounts.,0.016276331101996108,6,2330,True,-0.8040830905037318,Negative,Pass,0.07197183995526102,0.1699432721660206,0.1699432721660206,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Monitor,True,,Monitor - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
emp_length_exp,Employment stability proxy.,0.0089006654266555,11,7282,True,-1.1028375831319333,Negative,Pass,0.10417500550577807,0.25205545995652406,0.25205545995652406,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Conditional Review,True,,Conditional Review - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
pub_rec_band_exp,Public record severity.,0.008815608449842733,4,2086,True,-0.36572120313457296,Negative,Pass,0.08831686087346657,0.04047347544675761,0.08831686087346657,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Pass,True,,Candidate with governance controls,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
bankruptcy_band_exp,Bankruptcy history.,0.007910329605202021,3,1551,True,-0.1296913815878989,Negative,Pass,0.032047722422780256,0.2415658144125171,0.2415658144125171,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Monitor,False,Dropped from final clean scorecard because coefficient sign reversal appeared after removing heavier review variables.,Drop from final clean scorecard - governance exclusion,Do not treat as final production variable without remediation or documented override.
revol_bal_band_exp,Revolving balance burden.,0.006796846357673074,6,4514,True,-0.7890147546737917,Negative,Pass,0.1677637594046545,0.28749638212327805,0.28749638212327805,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Conditional Review,True,,Conditional Review - WOE stability movement,"Retained in final clean portfolio-demonstration scorecard subject to independent validation, fairness/proxy review and monitoring."
total_acc_band_exp,Depth of credit-file history.,0.0012373657240161142,5,6886,False,,,,0.06389155887144767,0.3121063131855737,0.3121063131855737,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Conditional Review,False,,Drop - not selected by IV threshold / low signal,Do not treat as final production variable without remediation or documented override.
application_type_exp,Individual or joint application.,0.0,1,183002,False,,,,0.0,0.0,0.0,<=0.10 Pass; >0.10-0.25 Monitor; >0.25-0.50 Conditional Review; >0.50 Do not use without remediation,Pass,False,,Drop - not selected by IV threshold / low signal,Do not treat as final production variable without remediation or documented override.
